Title,Year,Length,Rating,Review
The Shawshank Redemption,1994,2h 22m,R,9.3
The Godfather,1972,2h 55m,R,9.2
The Dark Knight,2008,2h 32m,PG-13,9.0
The Godfather Part II,1974,3h 22m,R,9.0
12 Angry Men,1957,1h 36m,Approved,9.0
Schindler's List,1993,3h 15m,R,9.0
The Lord of the Rings: The Return of the King,2003,3h 21m,PG-13,9.0
Pulp Fiction,1994,2h 34m,R,8.9
The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,PG-13,8.9
"The Good, the Bad and the Ugly",1966,2h 58m,R,8.8
Forrest Gump,1994,2h 22m,PG-13,8.8
The Lord of the Rings: The Two Towers,2002,2h 59m,PG-13,8.8
Fight Club,1999,2h 19m,R,8.8
Inception,2010,2h 28m,PG-13,8.8
Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,PG,8.7
The Matrix,1999,2h 16m,R,8.7
Goodfellas,1990,2h 25m,R,8.7
One Flew Over the Cuckoo's Nest,1975,2h 13m,R,8.7
Interstellar,2014,2h 49m,PG-13,8.7
Se7en,1995,2h 7m,R,8.6
It's a Wonderful Life,1946,2h 10m,PG,8.6
Seven Samurai,1954,3h 27m,Not Rated,8.6
The Silence of the Lambs,1991,1h 58m,R,8.6
Saving Private Ryan,1998,2h 49m,R,8.6
City of God,2002,2h 10m,R,8.6
Life Is Beautiful,1997,1h 56m,PG-13,8.6
The Green Mile,1999,3h 9m,R,8.6
Terminator 2: Judgment Day,1991,2h 17m,R,8.6
Star Wars: Episode IV - A New Hope,1977,2h 1m,PG,8.6
Back to the Future,1985,1h 56m,PG,8.5
Spirited Away,2001,2h 4m,PG,8.6
The Pianist,2002,2h 30m,R,8.5
Parasite,2019,2h 12m,R,8.5
Psycho,1960,1h 49m,R,8.5
Gladiator,2000,2h 35m,R,8.5
The Lion King,1994,1h 28m,G,8.5
Spider-Man: Across the Spider-Verse,2023,2h 20m,PG,8.6
The Departed,2006,2h 31m,R,8.5
Whiplash,2014,1h 46m,R,8.5
American History X,1998,1h 59m,R,8.5
Léon: The Professional,1994,1h 50m,R,8.5
Grave of the Fireflies,1988,1h 28m,Not Rated,8.5
The Prestige,2006,2h 10m,PG-13,8.5
Harakiri,1962,2h 13m,Not Rated,8.6
Dune: Part Two,2024,2h 46m,PG-13,8.5
The Usual Suspects,1995,1h 46m,R,8.5
Casablanca,1942,1h 42m,PG,8.5
The Intouchables,2011,1h 52m,R,8.5
Cinema Paradiso,1988,2h 54m,PG,8.5
Modern Times,1936,1h 27m,G,8.5
Alien,1979,1h 57m,R,8.5
Rear Window,1954,1h 52m,PG,8.5
Once Upon a Time in the West,1968,2h 46m,PG-13,8.5
City Lights,1931,1h 27m,G,8.5
Django Unchained,2012,2h 45m,R,8.5
Apocalypse Now,1979,2h 27m,R,8.4
Memento,2000,1h 53m,R,8.4
WALL·E,2008,1h 38m,G,8.4
Raiders of the Lost Ark,1981,1h 55m,PG,8.4
12th Fail,1981,1h 55m,PG,8.9
The Lives of Others,2006,2h 17m,R,8.4
Sunset Boulevard,1950,1h 50m,Approved,8.4
Avengers: Infinity War,2018,2h 29m,PG-13,8.4
Paths of Glory,1957,1h 28m,Approved,8.4
Spider-Man: Into the Spider-Verse,2018,1h 57m,PG,8.4
Witness for the Prosecution,1957,1h 56m,Approved,8.4
The Shining,1980,2h 26m,R,8.4
The Great Dictator,1940,2h 5m,G,8.4
Aliens,1986,2h 17m,R,8.4
Inglourious Basterds,2009,2h 33m,R,8.4
The Dark Knight Rises,2012,2h 44m,PG-13,8.4
Coco,2017,1h 45m,PG,8.4
Amadeus,1984,2h 40m,PG,8.4
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1h 35m,PG,8.3
Toy Story,1995,1h 21m,G,8.3
Oldboy,2003,2h,R,8.3
American Beauty,1999,2h 2m,R,8.3
Avengers: Endgame,2019,3h 1m,PG-13,8.4
Braveheart,1995,2h 58m,R,8.3
Das Boot,1995,2h 58m,R,8.4
Good Will Hunting,1997,2h 6m,R,8.3
Princess Mononoke,1997,2h 13m,PG-13,8.3
Joker,2019,2h 2m,R,8.4
Your Name.,2019,2h 2m,R,8.4
High and Low,1963,2h 23m,Not Rated,8.4
3 Idiots,2009,2h 50m,PG-13,8.4
Once Upon a Time in America,1984,3h 49m,R,8.3
Singin' in the Rain,1952,1h 43m,G,8.3
Capernaum,2018,2h 6m,R,8.4
Come and See,1985,2h 22m,Not Rated,8.4
Requiem for a Dream,2000,1h 42m,NC-17,8.3
Toy Story 3,2010,1h 43m,G,8.3
Star Wars: Episode VI - Return of the Jedi,1983,2h 11m,PG,8.3
Eternal Sunshine of the Spotless Mind,2004,1h 48m,R,8.3
The Hunt,2012,1h 55m,R,8.3
2001: A Space Odyssey,1968,2h 29m,G,8.3
Ikiru,1952,2h 23m,Not Rated,8.3
Reservoir Dogs,1992,1h 39m,R,8.3
Lawrence of Arabia,1962,3h 38m,PG,8.3
The Apartment,1960,2h 5m,Approved,8.3
Incendies,2010,2h 11m,R,8.3
Oppenheimer,2023,3h,R,8.3
North by Northwest,1959,2h 16m,Approved,8.3
Scarface,1983,2h 50m,R,8.3
Citizen Kane,1941,1h 59m,PG,8.3
Double Indemnity,1944,1h 47m,Approved,8.3
M,1931,1h 39m,Passed,8.3
Vertigo,1958,2h 8m,PG,8.3
Full Metal Jacket,1987,1h 56m,R,8.2
Heat,1995,2h 50m,R,8.3
Amélie,2001,2h 2m,R,8.3
Up,2009,1h 36m,PG,8.3
A Clockwork Orange,1971,2h 16m,R,8.2
To Kill a Mockingbird,1962,2h 9m,Approved,8.3
A Separation,2011,2h 3m,PG-13,8.3
The Sting,1973,2h 9m,PG,8.3
Die Hard,1988,2h 12m,R,8.2
Indiana Jones and the Last Crusade,1989,2h 7m,PG-13,8.2
Like Stars on Earth,2007,2h 42m,PG,8.3
Metropolis,1927,2h 33m,Not Rated,8.3
Snatch,2000,1h 42m,R,8.2
1917,2019,1h 59m,R,8.2
L.A. Confidential,1997,2h 18m,R,8.2
Bicycle Thieves,1948,1h 29m,Not Rated,8.3
Hamilton,2020,2h 40m,PG-13,8.3
Taxi Driver,1976,1h 54m,R,8.2
Downfall,2004,2h 36m,R,8.2
Dangal,2016,2h 41m,Not Rated,8.3
Batman Begins,2005,2h 20m,PG-13,8.2
For a Few Dollars More,1965,2h 12m,R,8.2
The Wolf of Wall Street,2013,3h,R,8.2
Green Book,2018,2h 10m,PG-13,8.2
Some Like It Hot,1959,2h 1m,Approved,8.2
The Kid,1921,1h 8m,Passed,8.2
Judgment at Nuremberg,1961,2h 59m,Approved,8.3
The Truman Show,1998,1h 43m,PG,8.2
The Father,2020,1h 37m,PG-13,8.2
All About Eve,1950,2h 18m,Approved,8.2
Shutter Island,2010,2h 18m,R,8.2
There Will Be Blood,2007,2h 38m,R,8.2
Top Gun: Maverick,2022,2h 10m,PG-13,8.2
Jurassic Park,1993,2h 7m,PG-13,8.2
Casino,1995,2h 58m,R,8.2
Ran,1985,2h 40m,R,8.2
The Sixth Sense,1999,1h 47m,PG-13,8.2
Pan's Labyrinth,2006,1h 58m,R,8.2
Unforgiven,1992,2h 10m,R,8.2
No Country for Old Men,2007,2h 2m,R,8.2
The Thing,1982,1h 49m,R,8.2
A Beautiful Mind,2001,2h 15m,PG-13,8.2
Kill Bill: Vol. 1,2003,1h 51m,R,8.2
The Treasure of the Sierra Madre,1948,2h 6m,Approved,8.2
Yojimbo,1961,1h 50m,Not Rated,8.2
The Great Escape,1963,2h 52m,Approved,8.2
Monty Python and the Holy Grail,1975,1h 31m,PG,8.2
Finding Nemo,2003,1h 40m,G,8.2
Prisoners,2013,2h 33m,R,8.2
Howl's Moving Castle,2004,1h 59m,PG,8.2
Rashomon,1950,1h 28m,Not Rated,8.2
The Elephant Man,1980,2h 4m,PG,8.2
Dial M for Murder,1954,1h 45m,PG,8.2
Chinatown,1974,2h 10m,R,8.1
Gone with the Wind,1939,3h 58m,G,8.2
"Lock, Stock and Two Smoking Barrels",1998,1h 47m,R,8.1
The Secret in Their Eyes,2009,2h 9m,R,8.2
Inside Out,2015,1h 35m,PG,8.1
V for Vendetta,2005,2h 12m,R,8.1
Raging Bull,1980,2h 9m,R,8.1
"Three Billboards Outside Ebbing, Missouri",2017,1h 55m,R,8.1
Trainspotting,1996,1h 33m,R,8.1
The Bridge on the River Kwai,1957,2h 41m,PG,8.1
Klaus,2019,1h 36m,PG,8.2
Catch Me If You Can,2002,2h 21m,PG-13,8.1
Fargo,1996,1h 38m,R,8.1
Warrior,2011,2h 20m,PG-13,8.1
Spider-Man: No Way Home,2021,2h 28m,PG-13,8.2
Gran Torino,2008,1h 56m,R,8.1
Harry Potter and the Deathly Hallows: Part 2,2011,2h 10m,PG-13,8.1
Million Dollar Baby,2004,2h 12m,PG-13,8.1
My Neighbor Totoro,1988,1h 26m,G,8.1
Mad Max: Fury Road,2015,2h,R,8.1
Children of Heaven,1997,1h 29m,PG,8.2
Ben-Hur,1959,3h 32m,G,8.1
12 Years a Slave,2013,2h 14m,R,8.1
Before Sunrise,1995,1h 41m,R,8.1
Blade Runner,1982,1h 57m,R,8.1
Barry Lyndon,1975,3h 5m,PG,8.1
The Grand Budapest Hotel,2014,1h 39m,R,8.1
Hacksaw Ridge,2016,2h 19m,R,8.1
Gone Girl,2014,2h 29m,R,8.1
Dead Poets Society,1989,2h 8m,PG,8.1
Maharaja,1989,2h 8m,PG,8.6
Memories of Murder,2003,2h 12m,Not Rated,8.1
In the Name of the Father,1993,2h 13m,R,8.1
The Gold Rush,1925,1h 35m,Approved,8.1
"Monsters, Inc.",2001,1h 32m,G,8.1
Wild Tales,2014,2h 2m,R,8.1
The Deer Hunter,1978,3h 3m,R,8.1
The General,1926,1h 18m,Passed,8.1
Jaws,1975,2h 4m,PG,8.1
Sherlock Jr.,1924,45m,Passed,8.2
How to Train Your Dragon,2010,1h 38m,PG,8.1
Ratatouille,2007,1h 51m,G,8.1
On the Waterfront,1954,1h 48m,Approved,8.1
Mary and Max,2009,1h 32m,Not Rated,8.1
The Wages of Fear,1953,2h 11m,Not Rated,8.1
The Third Man,1949,1h 33m,Approved,8.1
Wild Strawberries,1957,1h 32m,Not Rated,8.1
Ford v Ferrari,2019,2h 32m,PG-13,8.1
Mr. Smith Goes to Washington,1939,2h 9m,Approved,8.1
Tokyo Story,1953,2h 16m,Not Rated,8.1
Logan,2017,2h 17m,R,8.1
Rocky,1976,2h,PG,8.1
The Big Lebowski,1998,1h 57m,R,8.1
The Seventh Seal,1957,1h 36m,Not Rated,8.1
Room,2015,1h 58m,R,8.1
Spotlight,2015,2h 9m,R,8.1
The Terminator,1984,1h 47m,R,8.1
Hotel Rwanda,2004,2h 1m,PG-13,8.1
Platoon,1986,2h,R,8.1
La haine,1995,1h 38m,Not Rated,8.1
Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,PG-13,8.1
Before Sunset,2004,1h 20m,R,8.1
The Passion of Joan of Arc,1928,1h 54m,Passed,8.1
Jai Bhim,2021,2h 44m,Approved,8.7
The Best Years of Our Lives,1946,2h 50m,Approved,8.1
The Exorcist,1973,2h 2m,R,8.1
Rush,2013,2h 3m,R,8.1
The Incredibles,2004,1h 55m,PG,8.0
The Wizard of Oz,1939,1h 42m,G,8.1
Network,1976,2h 1m,R,8.1
Stand by Me,1986,1h 29m,R,8.1
Hachi: A Dog's Tale,2009,1h 33m,G,8.1
The Sound of Music,1965,2h 52m,G,8.1
My Father and My Son,2005,1h 52m,Not Rated,8.2
The Handmaiden,2016,2h 25m,Not Rated,8.1
To Be or Not to Be,1942,1h 39m,Approved,8.1
Into the Wild,2007,2h 28m,R,8.1
The Battle of Algiers,1966,2h 1m,Not Rated,8.1
Groundhog Day,1993,1h 41m,PG,8.0
The Grapes of Wrath,1940,2h 9m,Approved,8.1
The Iron Giant,1999,1h 26m,PG,8.1
Amores Perros,2000,2h 34m,R,8.0
Rebecca,1940,2h 10m,Approved,8.1
The Help,2011,2h 26m,PG-13,8.1
Cool Hand Luke,1967,2h 7m,Approved,8.1
It Happened One Night,1934,1h 45m,Approved,8.1
"Paris, Texas",1984,2h 25m,R,8.1
Aladdin,1992,1h 30m,G,8.0
Scent of a Woman,1992,2h 36m,R,8.0
